code_nat,text_nat,code_plus,text_plus,country
BTPC33,Motivation og stimulation ved vedligeholdelse af færdigheder i toiletbesøg,R3R130,Training in daily routines,den
BTPC41,Strukturering ved vedligeholdelse af færdigheder i bad og toilette,R3R130,Training in daily routines,den
BTPC42,Strukturering ved vedligeholdelse af færdigheder i af- og påklædning,R3R130,Training in daily routines,den
BTPC43,Strukturering ved vedligeholdelse af færdigheder i toiletbesøg,R3R130,Training in daily routines,den
BTPD01,Indøvning af indkøb,R3R130,Training in daily routines,den
BTPD02,Indøvning af rengøring og oprydning,R3R130,Training in daily routines,den
BTPD03,Indøvning af tøjvask,R3R130,Training in daily routines,den
BTPD04,Indøvning af sengeredning,R3R130,Training in daily routines,den
BTPD05,Indøvning af havearbejde,R3R130,Training in daily routines,den
BTPD06,Indøvning af reparation,R3R130,Training in daily routines,den
BTPD1,Indøvning af aktiviteter vedrørende arbejde og skole,R3R130,Training in daily routines,den
BTPD21,Indøvning af hobbyaktiviteter,R3R130,Training in daily routines,den
BTPD22,Indøvning af brug af fritidstilbud,R3R130,Training in daily routines,den
BTPD31,Indøvning af færden til fods,R3R130,Training in daily routines,den
BTPD32,Indøvning af færden i kørestol,R3R130,Training in daily routines,den
BTPD33,Indøvning af færden på cykel,R3R130,Training in daily routines,den
BTPD34,Indøvning af færden i bil,R3R130,Training in daily routines,den
BTPD35,Indøvning af færden i båd,R3R130,Training in daily routines,den
BTPD36,Indøvning af færden med offentligt transportmiddel,R3R130,Training in daily routines,den
BTPD5,Indøvning af administration af egen medicin,R3R130,Training in daily routines,den
BTPD61,Indøvning af skriftlig kommunikation,R3R140,Training of communicative ability,den
BTPD62,Indøvning af brug af kommunikationsudstyr,R3R140,Training of communicative ability,den
BTPD63,Indøvning af social kommunikation,R3R110,Psychosocial training,den
BTPD71,Indøvning af brug af banker,R3R150,Training for interaction with life surroundings,den
BTPD72,Indøvning af brug af forretninger,R3R150,Training for interaction with life surroundings,den
BTPD81,Indøvning af strukturering af rytme i dagligdagen,R3R130,Training in daily routines,den
BTPE01,Kompensationstræning ved indkøb,R3R130,Training in daily routines,den
BTPE02,Kompensationstræning ved rengøring og oprydning,R3R130,Training in daily routines,den
BTPE03,Kompensationstræning ved tøjvask,R3R130,Training in daily routines,den
BTPE04,Kompensationstræning ved sengeredning,R3R130,Training in daily routines,den
BTPE05,Kompensationstræning ved havearbejde,R3R130,Training in daily routines,den
BTPE06,Kompensationstræning ved reparation,R3R130,Training in daily routines,den
BTPE1,Kompensationstræning ved aktiviteter vedrørende arbejde og skole,R3R130,Training in daily routines,den
BTPE21,Kompensationstræning ved hobbyaktiviteter,R3R110,Psychosocial training,den
BTPE22,Kompensationstræning ved brug af fritidstilbud,R3R110,Psychosocial training,den
BTPE31,Kompensationstræning ved færden til fods,R3R120,Locomotor training,den
BTPE32,Kompensationstræning ved færden i kørestol,R3R150,Training for interaction with life surroundings,den
BTPE33,Kompensationstræning ved færden på cykel,R3R150,Training for interaction with life surroundings,den
BTPE34,Kompensationstræning ved færden i bil,R3R150,Training for interaction with life surroundings,den
BTPE35,Kompensationstræning ved færden i båd,R3R150,Training for interaction with life surroundings,den
BTPE36,Kompensationstræning ved færden med offentligt transportmiddel,R3R150,Training for interaction with life surroundings,den
BTPE5,Kompensationstræning ved administration af egen medicin,R3R150,Training for interaction with life surroundings,den
BTPE61,Kompensationstræning ved skriftlig kommunikation,R3R150,Training for interaction with life surroundings,den
BTPE62,Kompensationstræning ved brug af kommunikationsudstyr,R3R150,Training for interaction with life surroundings,den
BTPE63,Kompensationstræning ved social kommunikation,R3R150,Training for interaction with life surroundings,den
BTPE71,Kompensationstræning ved brug af banker,R3R150,Training for interaction with life surroundings,den
BTPE72,Kompensationstræning ved brug af forretninger,R3R150,Training for interaction with life surroundings,den
BTPE81,Kompensationstræning ved strukturering af rytme i dagligdagen,R3R150,Training for interaction with life surroundings,den
BTPF01,Vedligeholdelsestræning i indkøb,R3R150,Training for interaction with life surroundings,den
BTPF02,Vedligeholdelsestræning i rengøring og oprydning,R3R150,Training for interaction with life surroundings,den
BTPF03,Vedligeholdelsestræning i tøjvask,R3R150,Training for interaction with life surroundings,den
BTPF04,Vedligeholdelsestræning i sengeredning,R3R150,Training for interaction with life surroundings,den
BTPF05,Vedligeholdelsestræning i havearbejde,R3R150,Training for interaction with life surroundings,den
BTPF06,Vedligeholdelsestræning i reparation,R3R150,Training for interaction with life surroundings,den
BTPF1,Vedligeholdelsestræning i aktiviteter vedr. arbejde og skole,R3R150,Training for interaction with life surroundings,den
BTPF21,Vedligeholdelsestræning i hobbyaktiviteter,R3R110,Psychosocial training,den
BTPF22,Vedligeholdelsestræning i brug af fritidstilbud,R3R110,Psychosocial training,den
BTPF31,Vedligeholdelsestræning i færden til fods,R3R120,Locomotor training,den
BTPF32,Vedligeholdelsestræning i færden i kørestol,R3R150,Training for interaction with life surroundings,den
BTPF33,Vedligeholdelsestræning i færden på cykel,R3R150,Training for interaction with life surroundings,den
BTPF34,Vedligeholdelsestræning i færden i bil,R3R150,Training for interaction with life surroundings,den
BTPF35,Vedligeholdelsestræning i færden i båd,R3R150,Training for interaction with life surroundings,den
BTPF36,Vedligeholdelsestræning i færden med offentligt transportmiddel,R3R150,Training for interaction with life surroundings,den
BTPF5,Vedligeholdelsestræning i administration af egen medicin,R3R150,Training for interaction with life surroundings,den
BTPF61,Vedligeholdelsestræning i skriftlig kommunikation,R3R150,Training for interaction with life surroundings,den
BTPF62,Vedligeholdelsestræning i brug af kommunikationsudstyr,R3R150,Training for interaction with life surroundings,den
BTPF63,Vedligeholdelsestræning i social kommunikation,R3R110,Psychosocial training,den
BTPF71,Vedligeholdelsestræning i brug af banker,R3R150,Training for interaction with life surroundings,den
BTPF72,Vedligeholdelsestræning i brug af forretninger,R3R150,Training for interaction with life surroundings,den
BTPF81,Vedligeholdelsestræning i strukturering af rytme i dagligdagen,R3R130,Training in daily routines,den
BTPH0,Kompenserende støtte ved påklædning,R4R120,Occupational therapy,den
BTPH1,Kompenserende støtte ved afklædning,R4R120,Occupational therapy,den
BTPP,Træning af problemløsning i forhold til daglig livsførelse,R3R130,Training in daily routines,den
BTRA01,Ergonomisk afprøvning af arbejdsteknikker,R4R120,Occupational therapy,den
BTRA02,Ergonomisk afprøvning af arbejdsprocesser,R4R120,Occupational therapy,den
BTRA03,Ergonomisk afprøvning af arbejdsorganisering,R4R120,Occupational therapy,den
BTRA04,Ergonomisk afprøvning af arbejdsmiljø,R4R120,Occupational therapy,den
BTRA11,Ergonomisk tilpasning af arbejdsteknikker,R4R120,Occupational therapy,den
BTRA12,Ergonomisk tilpasning af arbejdsprocesser,R4R120,Occupational therapy,den
BTRA13,Ergonomisk tilpasning af arbejdsorganisering,R4R120,Occupational therapy,den
BTRA14,Ergonomisk tilpasning af arbejdsmiljø,R4R120,Occupational therapy,den
BTRA21,Ergonomisk ændring af arbejdsteknikker,R4R120,Occupational therapy,den
BTRA22,Ergonomisk ændring af arbejdsprocesser,R4R120,Occupational therapy,den
BTRA23,Ergonomisk ændring af arbejdsorganisering,R4R120,Occupational therapy,den
BTRA24,Ergonomisk ændring af arbejdsmiljø,R4R120,Occupational therapy,den
BTSA,Rådgivning vedr. fremtidigt erhverv,R2R310,Advice about occupation selection,den
BTSB,Rådgivning vedr. individuel forebyggelse i forbindelse med arbejde,R2R310,Advice about occupation selection,den
BTSC,Rådgivning om bevarelse af tilknytning til arbejdsmarkedet,R2R310,Advice about occupation selection,den
BTVA,Generel pleje ved lidelse i daglig livsførelse,R4R160,Other rehabilitative therapy,den
BTVB,Speciel pleje ved lidelse i daglig livsførelse,R4R160,Other rehabilitative therapy,den
BTXY,Træning (genoptræning) uden specifikation,R3R110,Psychosocial training,den
BUAA01,Sygehuskost 9 MJ (mellem),RDR290,Other nutriotional therapy,den
BUAA02,Sygehuskost 12 MJ (stor),RDR290,Other nutriotional therapy,den
BUAA11,Kost til småtspisende 9 MJ (mellem),RDR290,Other nutriotional therapy,den
BUAA12,Kost til småtspisende 12 MJ (stor),RDR290,Other nutriotional therapy,den
BUAA21,Normalkost 9 MJ (mellem),RDR290,Other nutriotional therapy,den
BUAA22,Normalkost 12 MJ (stor),RDR290,Other nutriotional therapy,den
BUAB0,Madebarnskost,RDR290,Other nutriotional therapy,den
BUAF01,Kost uden svinekød,RDR290,Other nutriotional therapy,den
BUAF02,Tygge- og synkevenlig kost,RDR290,Other nutriotional therapy,den
BUAF03,Kost med energi- eller proteintilskud,RDR290,Other nutriotional therapy,den
BUAF04,Flydende kost,RDR290,Other nutriotional therapy,den
BUAJ0,Delvis sondeernæring,RDR290,Other nutriotional therapy,den
BUAJ1,Total sondeernæring,RDR290,Other nutriotional therapy,den
BUAL0,Delvis parenteral ernæring,RDR290,Other nutriotional therapy,den
BUAL1,Total parenteral ernæring,RDR290,Other nutriotional therapy,den
BUBA0,CAPD-diæt,RDR290,Other nutriotional therapy,den
BUBA1,Diæt ved præuræmi,RDR290,Other nutriotional therapy,den
BUBA2,Hæmodialysediæt,RDR290,Other nutriotional therapy,den
BUBA81,Kaliumreduceret diæt,RDR290,Other nutriotional therapy,den
BUBA82,Fosfatreduceret diæt,RDR290,Other nutriotional therapy,den
BUBB0,Diæt uden farve- og konserveringsstoffer,RDR290,Other nutriotional therapy,den
BUBB1,Diæt uden pollenkrydsreagerende levnedsmidler,RDR290,Other nutriotional therapy,den
BUBB2,Diæt uden mælkeprodukter,RDR290,Other nutriotional therapy,den
BUBB3,Diæt uden æg,RDR290,Other nutriotional therapy,den
BUBB4,Nikkelreduceret diæt,RDR290,Other nutriotional therapy,den
BUBB7,Astronautkost,RDR290,Other nutriotional therapy,den
BUBB8,Eliminationsdiæt,RDR290,Other nutriotional therapy,den
BUBB9,Anden diæt ved allergi og intolerence,RDR290,Other nutriotional therapy,den
BUBC0,Diæt ved obstipation,RDR290,Other nutriotional therapy,den
BUBC1,Diæt ved colon irritable,RDR290,Other nutriotional therapy,den
BUBC2,Diæt ved stomi,RDR290,Other nutriotional therapy,den
BUBC3,Diæt ved leversygdom,RDR290,Other nutriotional therapy,den
BUBD0,Fedt- og kolesterolreduceret diæt,RDR290,Other nutriotional therapy,den
BUBD1,Fedtstofreduceret diæt,RDR290,Other nutriotional therapy,den
BUBD2,MCT (medium-chain-triglyceride) diæt,RDR290,Other nutriotional therapy,den
BUBE01,Diabetesdiæt ved diabetestype 2,RDR290,Other nutriotional therapy,den
BUBE02,Diabetesdiæt ved gestationel diabetes,RDR290,Other nutriotional therapy,den
BUBE03,Diabetesdiæt ved graviditet,RDR290,Other nutriotional therapy,den
BUBE1,Antidumping-diæt,RDR290,Other nutriotional therapy,den
BUBE81,Laktosereduceret diæt,RDR290,Other nutriotional therapy,den
BUBE82,Galaktosereduceret diæt,RDR290,Other nutriotional therapy,den
BUBE83,Fruktosereduceret diæt,RDR290,Other nutriotional therapy,den
BUBF0,Proteinkontrolleret diæt,RDR290,Other nutriotional therapy,den
BUBF1,Purinreduceret diæt,RDR290,Other nutriotional therapy,den
BUBS0,Diæt ved adipositas,RDR290,Other nutriotional therapy,den
BUBS1,Diæt ved spiseforstyrrelse,RDR290,Other nutriotional therapy,den
BUBS2,Diæt ved ernæringsterapi,RDR290,Other nutriotional therapy,den
BUBS3,Diæt ved osteoporose,RDR290,Other nutriotional therapy,den
BUBT0,Diæt ved træg mave,RDR290,Other nutriotional therapy,den
BUBT1,Diæt ved kvalme,RDR290,Other nutriotional therapy,den
BUBT2,Diæt ved vægttab,RDR290,Other nutriotional therapy,den
BUBT3,Diæt ved nedsat appetit,RDR290,Other nutriotional therapy,den
BUBY0,Undersøgelsesdiæt,RDR290,Other nutriotional therapy,den
BUBY1,Energireduceret diæt,RDR290,Other nutriotional therapy,den
BUBY2,Elementardiæt,RDR290,Other nutriotional therapy,den
BUBY3,Ketogen diæt,RDR290,Other nutriotional therapy,den
BUGA0,Initial diætvejledning,RDR290,Other nutriotional therapy,den
BUGA1,Opfølgende diætvejledning,RDR290,Other nutriotional therapy,den
BUGB0,Initial vejledning ved behandling med specifik kost,RDR290,Other nutriotional therapy,den
BUGB1,Opfølgende vejledning ved behandling med specifik kost,RDR290,Other nutriotional therapy,den
BUGC0,Rådgivning om gode kostvaner,RDR290,Other nutriotional therapy,den
BUGC1,Specifik kostrådgivning,RDR290,Other nutriotional therapy,den
BUGC2,Initial kostrådgivning,RDR290,Other nutriotional therapy,den
BUGC3,Opfølgende kostrådgivning,RDR290,Other nutriotional therapy,den
BUGC7,Madlavningskursus,RDR230,Teaching of meal preparation,den
BUGX0,Kostberegning,RDR120,Nutrient intake measurement,den
BUGX1,Social ressourceafklaring mhp. diætbehandling af epilepsi,RDR230,Teaching of meal preparation,den
BUGX2,Igangsætning af ketogen diæt,RDR290,Other nutriotional therapy,den
BUKA02,Kompenserende støtte ved fremstilling af varm mad,RDR240,Guidance in food supplies selection,den
BUKA03,Kompenserende støtte ved fremstilling af specialkost,RDR240,Guidance in food supplies selection,den
BUKA04,Kompenserende støtte ved fremstilling af drikkevarer,RDR240,Guidance in food supplies selection,den
BUKA31,Kompenserende støtte ved spisning,RDR250,Guidance of educational meal,den
BUKA32,Kompenserende handling ved madning,RDR250,Guidance of educational meal,den
BUKA33,Kompenserende handling ved sutteflaskegivning,RLRA20,Planning and follow-up of logotherapy,den
BUKA34,Kompenserende handling ved udskæring af mad,RDR290,Other nutriotional therapy,den
BUKA5,Kompenserende støtte ved indtagelse af spisestilling,RDR290,Other nutriotional therapy,den
BUKA71,Servering af mad,RDR290,Other nutriotional therapy,den
BUKA72,Anretning af mad,RDR290,Other nutriotional therapy,den
BUKB,Registrering af indtag af mad og drikke,RDR112,Nutrition intake history,den
BUVA,Generel pleje ved lidelse i kost og ernæring,RDR290,Other nutriotional therapy,den
BUVB,Speciel pleje ved lidelse i kost og ernæring,RDR290,Other nutriotional therapy,den
BUXA0,"Faste, 72 timer",RDR290,Other nutriotional therapy,den
BVAA01,Indlæggelsessamtale,ZYZX90,Other cinical consultation,den
BVAA02,Statussamtale,ZYZX90,Other cinical consultation,den
BVAA03,Evalueringssamtale,ZYZX90,Other cinical consultation,den
BVAA04,Udskrivningssamtale,ZYZX90,Other cinical consultation,den
BVAA31A,Samtale med patient forud for operation og behandlingsforløb,ZYZX90,Other cinical consultation,den
BVAA31B,Samtale med patient efter operation og behandlingsforløb,ZYZX90,Other cinical consultation,den
BVAA32,Samtale med patient om konkret undersøgelse,ZYZX90,Other cinical consultation,den
BVAA33A,Telefonkonsultation,ZYZA40,Letter or telephone contact with patient,den
BVAA33B,E-mail konsultation,ZYZA40,Letter or telephone contact with patient,den
BVAA33D,Videokonsultation,ZYZX81,Videodocumentation,den
BVAA34A,Samtale med behandlingssigte,ZYZX90,Other cinical consultation,den
BVAA35,Samtale med patient og anden behandler,ZYZX90,Other cinical consultation,den
BVAA36,Samtale med patient om deltagelse i kontrolleret forsøg,ZYZX90,Other cinical consultation,den
BVAA37,Samtale med patient om deltagelse i projekt,ZYZX90,Other cinical consultation,den
BVAA38,Samtale med patient om deltagelse i undervisning,ZYZX90,Other cinical consultation,den
BVAA39,Samtale med patient vedr. psykiske problemer,ZYZX90,Other cinical consultation,den
BVAA4,Samtale ved påbegyndelse af hjemmepleje,ZYZX90,Other cinical consultation,den
BVAA5B,Samtale med pårørende ved dennes fremmøde på sygehus,ZYZX86,Consultation with relatives,den
BVAA61,Samtale i forbindelse fritidsulykke,ZYZX90,Other cinical consultation,den
BVAA62,Samtale i forbindelse med incest,ZYZX90,Other cinical consultation,den
BVAA63,Samtale i forbindelse med vold,ZYZX90,Other cinical consultation,den
BVAA64A,Samtale i forbindelse med voldtægt,ZYZX90,Other cinical consultation,den
BVAA65,Samtale efter arbejdsulykke,ZYZX90,Other cinical consultation,den
BVAA66,Samtale i forbindelse med arbejdsmiljøproblemer,ZYZX90,Other cinical consultation,den
BVAA90,Samtale med praktiserende læge,ZYZX90,Other cinical consultation,den
BVAA91A,Samtale med tandlæge,ZYZX90,Other cinical consultation,den
BVAA92A,Samtale med socialforvaltning,ZYZX90,Other cinical consultation,den
BVAA92B,Samtale med hjemmepleje,ZYZX90,Other cinical consultation,den
BVAA92C,Samtale med plejehjem,ZYZX90,Other cinical consultation,den
BVAA92D,Samtale med politi,ZYZX90,Other cinical consultation,den
BVAA92E,Tilstedeværelse af politi,ZYZX92,Medicolegal examination,den
BVAA97,Samtale med forældre,ZYZX86,Consultation with relatives,den
BVAA98,Samtale med støtte- eller kontaktperson,ZYZX86,Consultation with relatives,den
BVAA99,Samtale med værge,ZYZX86,Consultation with relatives,den
BVAB11,Holde patienten i hånden,WZZ999,Other minor procedure,den
BVAB12,Være til stede hos patienten,WZZ999,Other minor procedure,den
BVAB13,Ledsage patienten,WZZ999,Other minor procedure,den
BVAC0,Udlevering af skriftligt informationsmateriale,WZZ999,Other minor procedure,den
BVAC20A,Socialmedicinsk forslag til socialforvaltning (LÆ165),WRZA90,Other health statement,den
BVAC21A,Henvisning til rehabilitering for torturoverlevere (RCT),WRZA90,Other health statement,den
BVAC22,Udsendelse af ADHD–RS skema til forældre,ZYZX86,Consultation with relatives,den
BVAC23,Udsendelse af ADHD–RS skema til skole/institution,ZYZX90,Other cinical consultation,den
BVAD0,Tværfagligt informationsmøde om operationsforløb for patient og pårørende,WRZA90,Other health statement,den
BVAW1A,Henvendelse til kommune vedr. færdigbehandlet patient,WRZA90,Other health statement,den
BVAW22,Koordinerende netværksmøde,ZZZA00,Team of care providers,den
BVAW30,Telefonsamtale med praktiserende læge,ZYZX90,Other cinical consultation,den
BVAW31A,Telefonsamtale med tandlæge,ZYZX90,Other cinical consultation,den
BVAW32A,Telefonsamtale med socialforvaltning,ZYZX90,Other cinical consultation,den
BVAW32B,Telefonsamtale med hjemmepleje,ZYZX90,Other cinical consultation,den
BVAW32C,Telefonsamtale med plejehjem,ZYZX90,Other cinical consultation,den
BVAW32D,Telefonsamtale med politi,ZYZX90,Other cinical consultation,den
BVAW38,Telefonsamtale med støtte- eller kontaktperson,ZYZX86,Consultation with relatives,den
BVAW39A,Telefonsamtale med værge om sociale forhold,ZYZX86,Consultation with relatives,den
BVAW41,Telefonsamtale med forældre,ZYZX86,Consultation with relatives,den
BVAW42A,Telefonsamtale med pårørende om sociale forhold,ZYZX86,Consultation with relatives,den
BVAW43,Telefonsamtale med besøgsven eller lignende,ZYZX86,Consultation with relatives,den
BVDH,Behandling på hold,ZZZA10,Group of patients,den
BVDS,Behandling i skole,ZYZA32,Workplace or school visit or consultation,den
BVDT01,Vejledning i brug af nikotintyggegummi,WZZ999,Other minor procedure,den
BVDT02,Vejledning i brug af andet hjælpemiddel,WZZ999,Other minor procedure,den
BVDT1,Rådgivning vedrørende rygestop,WTXX00,Intervention for dependency and abuse,den
BVDU,Alkoholrådgivning,WTXX00,Intervention for dependency and abuse,den
BVDY01,Instruktion af patient i konkret fremgangsmåde,ZYZX90,Other cinical consultation,den
BVDY02,Oplæring af patient i manuel færdighed,ZYZX90,Other cinical consultation,den
BVDY03,Oplæring af patient i mestring af egen situation,ZYZX90,Other cinical consultation,den
BVDY04,Undervisning af patient i nødvendig viden,ZYZX90,Other cinical consultation,den
BVDY05,Rådgivning af patient om muligheder,ZYZX90,Other cinical consultation,den
BVDY06,Vejledning i forbindelse med planlagt undersøgelses- og behandlingsforløb,ZYZX90,Other cinical consultation,den
BVDY2,Motivering af patient,ZYZX90,Other cinical consultation,den
BVDY3,Afledning af patient,ZYZX90,Other cinical consultation,den
BVDY4,Supervisering af patient,ZYZX90,Other cinical consultation,den
BVDY50A,Oplæring af pårørende i genoplivning af neonatal,ZYZX86,Consultation with relatives,den
BVDY50B,Undervisning af pårørende i epilepsi,ZYZX88,Information and education,den
BVDY55,Rådgivning af pårørende,ZYZX86,Consultation with relatives,den
BVDY56A,Specialespecifik vejledning til anden instans,ZYZX90,Other cinical consultation,den
BVDY7,Hukommelsesstøtte,ZYZX90,Other cinical consultation,den
BVDY8,Udfyldelse af spørgeskema under vejledning,ZYZX90,Other cinical consultation,den
BVGA5,Klinisk genetisk opfølgning,ZYZX84,Genetic consultation,den
BVGA7,Klinisk genetisk vejledning til anden instans,ZYZX84,Genetic consultation,den
BWAA1,Medicingivning ved inhalation,ZXXX08,Inhalation,den
BWAA21,Medicingivning i øje,ZXXX07,Ocular,den
BWAA22,Medicingivning i næse,ZXXX06,Intranasal,den
BWAA23,Medicingivning i øre,ZXXX05,To ear,den
BWAA24,Medicingivning i vagina,ZXXX38,Vaginal,den
BWAA25,Medicingivning i rectum,ZXXX02,Rectal,den
BWAA26,Medicingivning i stomi,ZXXX93,To enterostomy,den
BWAA27,Installatio intravesicalis,ZXXX36,Intravesical,den
BWAA31,Medicingivning ved subkutan injektion,ZXXX12,Subcutaneous,den
BWAA32,Medicingivning ved intrakutan injektion,ZXXX11,Intracutaneous,den
BWAA51,Medicingivning ved lukket forbinding,ZXXX10,Cutaneous or transcutaneous,den
BWAA52,Medicingivning ved badning,ZXXX10,Cutaneous or transcutaneous,den
BWAA61,Medicingivning ved intravenøs injektion gennem permanent venekateter,ZXXX20,Intravenous,den
BWAA62,Medicingivning ved intravenøs infusion,ZXXX20,Intravenous,den
BWAA71,Medicingivning ved intraspinal injektion,ZXXX31,Intrathecal or intraspinal,den
BWAA72,Installatio epiduralis,ZXXX30,Epidural,den
BWAA73,Medicingivning ved intraperitoneal injektion,ZXXX34,Intraabdominal,den
BWAA74,Medicingivning ved intraartikulær injektion,ZXXX40,Intraarticular,den
BWAA80,Medicingivning via pumpe,ZXXX97,To pumping device,den
BWDA01,Telefonisk receptudstedelse,WVXX00,Other intervention for medication,den
BWDB01,Udlevering af medicin som led i specialiseret behandling,WVXX00,Other intervention for medication,den
BWDB02,Udlevering af medicin som led i kontrolleret forsøg,WVXX00,Other intervention for medication,den
BWDC01,Ophældning af medicin i doseringsæske til et døgn,WVXX00,Other intervention for medication,den
BWDC02,Ophældning af medicin i doseringsæske til en uge,WVXX00,Other intervention for medication,den
BWDC2,Tilsætning af medicin til infusionsvæske,WVXX00,Other intervention for medication,den
BWDC5,Tilsætning af medicin til peritonealdialysevæske,WVXX00,Other intervention for medication,den
BWEZ,Medikamentel behandling,WVXX00,Other intervention for medication,den
BWFL,Løbetræning,R4R110,Physiotherapy,den
BWGA10A,Stråleplanlægning - helkrop(CT),XXDD9V,Other CT examination for dose design of radiotherapy,den
BWGA10B,Stråleplanlægning - helkrop(CT - PET),XXDD9V,Other CT examination for dose design of radiotherapy,den
BWGA10C,Stråleplanlægning - helkrop (CT-MR),XXDG8V,Stereotactic MRI examination for dose design of radiotherapy,den
BWGA11A,Stråleplanlægning - intrakavitær (CT),XXDD9V,Other CT examination for dose design of radiotherapy,den
BWGA11B,Stråleplanlægning - intrakavitær (CT - PET),XXDD9V,Other CT examination for dose design of radiotherapy,den
BWGA11C,Stråleplanlægning - intrakavitær (CT-MR),XXDG8V,Stereotactic MRI examination for dose design of radiotherapy,den
BWGA2A,Stråleplanlægning - individuel 3D konform (CT),XXDD8V,Stereotactic CT examination for dose design of radiotherapy,den
BWGA2B,Stråleplanlægning - individuel 3D konform (CT - PET),XXDD8V,Stereotactic CT examination for dose design of radiotherapy,den
BWGA2C,Stråleplanlægning - individuel 3D konform (CT-MR),XXDG8V,Stereotactic MRI examination for dose design of radiotherapy,den
BWGA3A,Stråleplanlægning - intensitetsmoduleret (CT),XXDD9V,Other CT examination for dose design of radiotherapy,den
BWGA3B,Stråleplanlægning - intensitetsmoduleret (CT - PET),XXDD9V,Other CT examination for dose design of radiotherapy,den
BWGA3C,Stråleplanlægning - intensitetsmoduleret (CT-MR),XXDG8V,Stereotactic MRI examination for dose design of radiotherapy,den
BWGA4A,Stråleplanlægning - åndedræts-tilpasset (CT),XXDD9V,Other CT examination for dose design of radiotherapy,den
BWGA4B,Stråleplanlægning - åndedræts-tilpasset (CT-PET),XXDD9V,Other CT examination for dose design of radiotherapy,den
BWGA4C,Stråleplanlægning - åndedræts-tilpasset (CT-MR),XXDG8V,Stereotactic MRI examination for dose design of radiotherapy,den
BWGA5,Virtuel simulering ( CT),XXDD9V,Other CT examination for dose design of radiotherapy,den
BWGA6,Stråleplanlægning - stereotaksi,ZXOX20,Three dimensional (3D) dose design of radiotherapy,den
BWGA7A,Stråleplanlægning - interstitiel (CT),XXDD9V,Other CT examination for dose design of radiotherapy,den
BWGA7B,Stråleplanlægning - interstitielt (CT - PET),XXDD9V,Other CT examination for dose design of radiotherapy,den
BWGA7C,Stråleplanlægning - interstitielt (CT-MR),XXDG8V,Stereotactic MRI examination for dose design of radiotherapy,den
BWGC1,Konventionel ekstern strålebehandling,ZXO090,Other method of radiotherapy,den
BWGC21,Cerebral stereotaktisk strålebehandling,AAO099,Other radiotherapy of brain and other intracranial structures,den
BWGC22,Stereotaktisk strålebehandling af lever,JJO099,Other radiotherapy of liver and bile system,den
BWGC23,Stereotaktisk strålebehandling af lunger,GDO099,Other radiotherapy of the lungs,den
BWGC24,Stereotaktisk strålebehandling af pankreas,JLO099,Other radiotherapy of pancreas,den
BWGC29,Stereotaktisk strålebehandling af andet organ eller væv,ZXO090,Other method of radiotherapy,den
BWGC31,Foton helkropsbestråling (foton-TBI),ZXO090,Other method of radiotherapy,den
BWGC32,Elektron helkropsbestråling (elektron-TBI),ZXO090,Other method of radiotherapy,den
BWGC4A,"Intensitetsmoduleret radioterapi (IMRT), image guided radiotherapy (IGRT)",ZXO090,Other method of radiotherapy,den
BWGC5A,"Individuel konform strålebehandling, image guided radiotherapy (IGRT)",ZXO090,Other method of radiotherapy,den
BWGC7A,"Strålebehandling med gating, image guided radiotherapy (IGRT)",ZXO090,Other method of radiotherapy,den
BWGE1,Intrakavitær strålebehandling,ZXO042,Intracavity LDR radiotherapy,den
BWGE2,Interstitiel strålebehandling,ZXO021,Pulsed dose rate (PDR) brachytherapy,den
BWGG1,Radiojodbehandling,BAOA00,Radioiodine therapy of thydoid tissue,den
BWGG3,Isotopterapi med indium,ZXIA10,Indium 111,den
BWGG4,Isotopterapi med strontium,ZXIB30,Strontium isotope,den
BWGG9,Isotopterapi med anden isotop,ZXIB90,Other or undefined isotope,den
BWGJ1,Intraoperativ strålebehandling af bryst,HAO101,Preoperative radiotherapy of mammary gland,den
BWHA102,Behandling med doxorubicin,WVXX00,Other intervention for medication,den
BWHA103,Behandling med epirubicin,WVXX00,Other intervention for medication,den
BWHA104,Behandling med mitoxantron,WVXX00,Other intervention for medication,den
BWHA105,Behandling med cyclophosphamid,WVXX00,Other intervention for medication,den
BWHA106,Behandling med ifosfamid,WVXX00,Other intervention for medication,den
BWHA107,Behandling med cisplatin,WVXX00,Other intervention for medication,den
BWHA108,Behandling med oxaliplatin,WVXX00,Other intervention for medication,den
BWHA109,Behandling med carboplatin,WVXX00,Other intervention for medication,den
BWHA110,Behandling med 5-fluorouracil,WVXX00,Other intervention for medication,den
BWHA111,Behandling med etoposid,WVXX00,Other intervention for medication,den
BWHA112,Behandling med carboplatin+etoposid,WVXX00,Other intervention for medication,den
BWHA113,Behandling med vinorelbin,WVXX00,Other intervention for medication,den
BWHA114,Behandling med gemcitabin,WVXX00,Other intervention for medication,den
BWHA115,Behandling med methotrexat,WVXX00,Other intervention for medication,den
BWHA117,Behandling med cyclophosphamid+methotrexat+5-fluorouracil (CMF),WVXX00,Other intervention for medication,den
BWHA118,Behandling med cyclophosphamid+epirubicin+5-fluorouracil (CEF),WVXX00,Other intervention for medication,den
BWHA119,Behandling med cyclophosphamid+doxorubicin+vinkristin+prednisolon (CHOP),WVXX00,Other intervention for medication,den
BWHA120,Behandling med MIME,WVXX00,Other intervention for medication,den
