code_nat,text_nat,code_plus,text_plus,country
A10AE,"Insulins and analogues, long-acting",A10AE,"Insulins and analogues, long-acting",den
A10BA,Biguanides,A10BA,Biguanides,den
A10BB,"Sulfonamides, urea derivatives",A10BB,"Sulfonamides, urea derivatives",den
A10BC,Sulfonamides (heterocyclic),A10BC,Sulfonamides (heterocyclic),den
A10BD,Combinations of oral blood glucose lowering drugs,A10BD,Combinations of oral blood glucose lowering drugs,den
A10BF,Alpha glucosidase inhibitors,A10BF,Alpha glucosidase inhibitors,den
A10BG,Thiazolidinediones,A10BG,Thiazolidinediones,den
A10BX,Other oral blood glucose lowering drugs,A10BX,Other oral blood glucose lowering drugs,den
A10XA,Aldose reductase inhibitors,A10XA,Aldose reductase inhibitors,den
A11AA,Multivitamins with minerals,A11AA,Multivitamins with minerals,den
A11AB,"Multivitamins, other combinations",A11AB,"Multivitamins, other combinations",den
A11BA,"Multivitamins, plain",A11BA,"Multivitamins, plain",den
A11CA,"Vitamin A, plain",A11CA,"Vitamin A, plain",den
A11CB,Vitamin A and D in combination,A11CB,Vitamin A and D in combination,den
A11CC,Vitamin D and analogues,A11CC,Vitamin D and analogues,den
A11DA,"Vitamin B1, plain",A11DA,"Vitamin B1, plain",den
A11DB,Vitamin B1 in combination with vitamin B6 and/or vitamin B12,A11DB,Vitamin B1 in combination with vitamin B6 and/or vitamin B12,den
A11EA,"Vitamin B-complex, plain",A11EA,"Vitamin B-complex, plain",den
A11EB,Vitamin B-complex with vitamin C,A11EB,Vitamin B-complex with vitamin C,den
A11EC,Vitamin B-complex with minerals,A11EC,Vitamin B-complex with minerals,den
A11ED,Vitamin B-complex with anabolic steroids,A11ED,Vitamin B-complex with anabolic steroids,den
A11EX,"Vitamin B-complex, other combinations",A11EX,"Vitamin B-complex, other combinations",den
A11GA,"Ascorbic acid (vitamin C), plain",A11GA,"Ascorbic acid (vitamin C), plain",den
A11GB,"Ascorbic acid (vitamin C), combinations",A11GB,"Ascorbic acid (vitamin C), combinations",den
A11HA,Other plain vitamin preparations,A11HA,Other plain vitamin preparations,den
A11JA,Combinations of vitamins,A11JA,Combinations of vitamins,den
A11JB,Vitamins with minerals,A11JB,Vitamins with minerals,den
A11JC,"Vitamins, other combinations",A11JC,"Vitamins, other combinations",den
A12AA,Calcium,A12AA,Calcium,den
A12AX,"Calcium, combinations with other drugs",A12AX,"Calcium, combinations with other drugs",den
A12BA,Potassium,A12BA,Potassium,den
A12CA,Sodium,A12CA,Sodium,den
A12CB,Zinc,A12CB,Zinc,den
A12CC,Magnesium,A12CC,Magnesium,den
A12CD,Fluoride,A12CD,Fluoride,den
A12CE,Selenium,A12CE,Selenium,den
A12CX,Other mineral products,A12CX,Other mineral products,den
A14AA,Androstan derivatives,A14AA,Androstan derivatives,den
A14AB,Estren derivatives,A14AB,Estren derivatives,den
A16AA,Amino acids and derivatives,A16AA,Amino acids and derivatives,den
A16AB,Enzymes,A16AB,Enzymes,den
A16AX,Various alimentary tract and metabolism products,A16AX,Various alimentary tract and metabolism products,den
B01AA,Vitamin K antagonists,B01AA,Vitamin K antagonists,den
B01AB,Heparin group,B01AB,Heparin group,den
B01AC,Platelet aggregation inhibitors excl. heparin,B01AC,Platelet aggregation inhibitors excl. heparin,den
B01AD,Enzymes,B01AD,Enzymes,den
B01AE,Direct thrombin inhibitors,B01AE,Direct thrombin inhibitors,den
B01AX,Other antithrombotic agents,B01AX,Other antithrombotic agents,den
B02AA,Amino acids,B02AA,Amino acids,den
B02AB,Proteinase inhibitors,B02AB,Proteinase inhibitors,den
B02BA,Vitamin K,B02BA,Vitamin K,den
B02BB,Fibrinogen,B02BB,Fibrinogen,den
B02BC,Local hemostatics,B02BC,Local hemostatics,den
B02BD,Blood coagulation factors,B02BD,Blood coagulation factors,den
B02BX,Other systemic hemostatics,B02BX,Other systemic hemostatics,den
B03AA,"Iron bivalent, oral preparations",B03AA,"Iron bivalent, oral preparations",den
B03AB,"Iron trivalent, oral preparations",B03AB,"Iron trivalent, oral preparations",den
B03AC,"Iron trivalent, parenteral preparations",B03AC,"Iron trivalent, parenteral preparations",den
B03AD,Iron in combination with folic acid,B03AD,Iron in combination with folic acid,den
B03AE,Iron in other combinations,B03AE,Iron in other combinations,den
B03BA,Vitamin B12 (cyanocobalamin and analogues),B03BA,Vitamin B12 (cyanocobalamin and analogues),den
B03BB,Folic acid and derivatives,B03BB,Folic acid and derivatives,den
B03XA,Other antianemic preparations,B03XA,Other antianemic preparations,den
B05AA,Blood substitutes and plasma protein fractions,B05AA,Blood substitutes and plasma protein fractions,den
B05BA,Solutions for parenteral nutrition,B05BA,Solutions for parenteral nutrition,den
B05BB,Solutions affecting the electrolyte balance,B05BB,Solutions affecting the electrolyte balance,den
B05BC,Solutions producing osmotic diuresis,B05BC,Solutions producing osmotic diuresis,den
B05CA,Antiinfectives,B05CA,Antiinfectives,den
B05CB,Salt solutions,B05CB,Salt solutions,den
B05CX,Other irrigating solutions,B05CX,Other irrigating solutions,den
B05DA,Isotonic solutions,B05DA,Isotonic solutions,den
B05DB,Hypertonic solutions,B05DB,Hypertonic solutions,den
B05XA,Electrolyte solutions,B05XA,Electrolyte solutions,den
B05XB,Amino acids,B05XB,Amino acids,den
B05XC,Vitamins,B05XC,Vitamins,den
B05XX,Other i.v. solution additives,B05XX,Other i.v. solution additives,den
B05ZA,"Hemodialytics, concentrates",B05ZA,"Hemodialytics, concentrates",den
B05ZB,Hemofiltrates,B05ZB,Hemofiltrates,den
B06AA,Enzymes,B06AA,Enzymes,den
B06AB,Other hem products,B06AB,Other hem products,den
BABD,Kateteranvendelse ved regionalanæstesi,WAA600,Single shot through catheter,den
BABZ01,Anlæggelse af spinalkateter,ABX006,Catheterisation of cerebrospinal fluid through skin,den
BAFA08,Vagus nervestimulation,ADXA00,Adjustment of electronic stimulator of vagal nerve,den
BAFA41,Behandling med blokade af ganglion coeliaca,ADXX04,Sympathetic block of ganglion coeliacum,den
BAFA51,Behandling med blokade af truncus sympaticus lumbalis,ADXX06,Sympathetic block on lumbal level,den
BAFA6,Smertebehandling med blokade,ACXX99,Other or unspecified treatment of pain,den
BAFA7,Smertebehandling med infiltrationsanæstesi,ACX000,Treatment of chronic pain with peripheral nerve block,den
BAFA81,Smertebehandling med inhalationsanalgesi,ACXX99,Other or unspecified treatment of pain,den
BAFA82,Smertebehandling med fysioterapi,ACXX99,Other or unspecified treatment of pain,den
BAFA83,Smertebehandling med zoneterapi,ACXX99,Other or unspecified treatment of pain,den
BAFA84,Smertebehandling med kiropraktik,ACXX99,Other or unspecified treatment of pain,den
BAFA85,Smertebehandling med laser,ACXX99,Other or unspecified treatment of pain,den
BAFA86,Smertebehandling med biofeedback,ACXX99,Other or unspecified treatment of pain,den
BAFA87,Smertebehandling med sterilvandspapler,ACXX99,Other or unspecified treatment of pain,den
BAFA88,Smertebehandling via smertepumpe,ACX020,Treatment of chronic pain with injection pump,den
BAHY0,Behandling med stærkt analgetikum,ACXX99,Other or unspecified treatment of pain,den
BAHY12A,Pausering med behandling med NSAID-præparat,WVXX00,Other intervention for medication,den
BAHY12B,Behandling med andet svagt virkende non-opioidt analgetikum,WVXX00,Other intervention for medication,den
BAHY2,Behandling med migrænemiddel,WVXX00,Other intervention for medication,den
