procprop,varval_text_comb,extens,nat_ver
21E11,Endoscopy of upper gastrointestinal tract for trauma,False,est/swe/lat/ice/den/fin/nor
21E14,Other therapeutic endoscopy of biliary tract for trauma,False,est/swe/lat/ice/den/fin/nor
21E16,Therapeutic endoscopy of urinary tract for trauma,False,est/swe/lat/ice/den/fin/nor
21E17,Diagnostic endoscopy of upper urinary tract for trauma,False,est/swe/lat/ice/den/fin/nor
21E18,Endoscopy of lower urinary tract for trauma,False,est/swe/lat/ice/den/fin/nor
21S02,Skin graft procedure for injuries,False,est/swe/lat/ice/den/fin/nor
21S03,Hand procedure for injuries,False,est/swe/lat/ice/den/fin/nor
21S04,Craniotomy for trauma,False,est/swe/lat/ice/den/fin/nor
21S05,Limb reattachment or hip or femur procedure for trauma,False,est/swe/lat/ice/den/fin/nor
21S07,"Lumbar, pelvic or femur fracture procedure",False,fin
21S09,Other OR procedure for injuries,False,est/swe/lat/ice/den/fin/nor
21S10,OR procedure for trauma,False,fin
21S20,Late treatment of burn,False,est/swe/lat/ice/den/fin/nor
22E03,Esophagoscopy with insertion of stent for treatment of burn,False,est/swe/lat/ice/den/fin/nor
22E06,Therapeutic endoscopy of upper gastrointestinal tract for treatment of burn,False,est/swe/lat/ice/den/fin/nor
22E11,Endoscopy of upper gastrointestinal tract for treatment of burn,False,est/swe/lat/ice/den/fin/nor
22S01,Skin graft procedure for burns,False,est/swe/lat/ice/den/fin/nor
22S02,Wound debridement or other OR procedure for burns,False,est/swe/lat/ice/den/fin/nor
22S03,Dressing of major burn,False,fin
22S04,Dressing of burn,False,fin
30D71,Diagnostic procedure of breast in MDC 30,False,fin
30D72,Demanding diagnostic procedure of breast in MDC 30,False,fin
30S03,Total mastectomy or breast reconstruction,True,est/swe/lat/ice/den/fin/nor
30S04,Partial mastectomy or other breast procedure,False,est/swe/lat/ice/den/fin/nor
30S05,Breast biopsy or local excision,False,est/swe/lat/ice/den/fin/nor
30S11,Total reconstruction of breast,True,est/swe/lat/ice/den/fin/nor
30S99,Other breast procedure,False,est/swe/lat/ice/den/fin/nor
40V10,Desensitization,False,swe/fin
90D01,"Diagnostic proc of head, neck and central nerv syst for malignancy",False,fin
90D02,"Demanding diagnostic proc of head, neck and central nerv syst for malignancy",False,fin
90D11,Diagnostic procedure of endocrine organs for malignancy,False,fin
90D21,"Diagnostic procedure of heart, large vessels and other intrathoracic organs for malignancy",False,fin
90D22,"Demanding diagnostic procedure of heart, large vessels and other intrathoracic organs for malignancy",False,fin
90D31,"Diagnostic procedure of abdominal, retroperitoneal and pelvic organs for malignancy",False,fin
90D32,"Demanding diagnostic procedure of abdominal, retroperitoneal and pelvic organs for malignancy",False,fin
90D41,Diagnostic procedure of musculoskeletal system for malignancy,False,fin
90D42,Demanding diagnostic procedure of musculoskeletal system for malignancy,False,fin
90D61,Diagnostic procedure of peripheral vascular system for malignancy,False,fin
90D62,Demanding diagnostic proc of peripheral vascular system for malignancy,False,fin
90D64,Diagnostic procedure of lymfatic system for malignancy,False,fin
90D91,Dose design for radiotherapy of malignancy,False,fin
90D92,Demanding dose design for radiotherapy of malignancy,False,fin
90S01,Parenteral administration,False,fin
90S02,Intravenous administration,False,fin/nor
90S03,Intravesical administration,False,fin
90S04,"Intramuscular, subcutaneous or other special route",False,fin
90T01,Cytostatic drug,False,fin
90T05,Radiotherapy,False,fin/nor
90T06,Radiotherapy with large shaped fields,False,fin
90T07,Stereotactic radiotherapy or demanding isotope therapy,False,fin/nor
90T08,Special demanding isotope therapy,False,fin/nor
99S61,Demanding hormone therapy,False,fin
99S80,Standard cytostatic therapy,False,fin
99S90,Extensive procedure - list created during the exporting process,False,est/swe/lat/ice/den/fin/nor
99T00,"Complex medication, unspecified",False,fin
99V22,Team of care providers,False,swe/ice/fin
99V35,Medical doctor,False,swe/ice/fin
